,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
73,2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,29.6,29.6,,,26,57,73,,,,,,2 or more races,"(34.748650124, -92.274490743)",PA,PA1,Q043,VALUE,5,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
74,2014,2014,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,21.4,21.4,,,21.3,21.9,6636,,,,,,Non-Hispanic White,"(37.542680674, -78.457890463)",OWS,OWS1,Q037,VALUE,51,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
75,2017,2017,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,48.9,48.9,,,30.3,57,3501,,,College graduate,,,,"(39.360700171, -111.587130635)",OWS,OWS1,Q037,VALUE,49,Education,College graduate,EDU,EDUCOGRAD
76,2015,2015,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,50.8,50.8,,,44.4,57.6,348,,25 - 34,,,,,"(43.235541343, -108.109830353)",PA,PA1,Q046,VALUE,56,Age (years),25 - 34,AGEYR,AGEYR2534
77,2015,2015,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,40.5,40.5,,,40.3,40.9,1054,,55 - 64,,,,,"(34.748650124, -92.274490743)",PA,PA1,Q047,VALUE,5,Age (years),55 - 64,AGEYR,AGEYR5564
78,2011,2011,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,21.7,21.7,,,21,24,1524,,,,,,Hispanic,"(42.27687047, -72.082690675)",OWS,OWS1,Q037,VALUE,25,Race/Ethnicity,Hispanic,RACE,RACEHIS
79,2019,2019,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,50.7,50.7,,,47.4,51.6,2518,,,,Female,,,"(43.23554134300048, -108.10983035299967)",PA,PA1,Q047,VALUE,56,Gender,Female,GEN,FEMALE
80,2019,2019,KS,Kansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,35.3,35.3,,,27.4,47.3,1471,,,,,Data not reported,,"(38.34774030000045, -98.20078122699965)",PA,PA1,Q043,VALUE,20,Income,Data not reported,INC,INCNR
81,2017,2017,CA,California,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,51,51,,,50.5,52.1,607,,,,,"$25,000 - $34,999",,"(37.638640123, -120.999999538)",PA,PA1,Q044,VALUE,6,Income,"$25,000 - $34,999",INC,INC2535
82,2016,2016,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,31.5,31.5,,,31.1,36.5,1019,,,,,"$15,000 - $24,999",,"(21.304850435, -157.857749403)",OWS,OWS1,Q037,VALUE,15,Income,"$15,000 - $24,999",INC,INC1525
83,2021,2021,GU,Guam,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,32.2,32.2,,,30.3,33.1,309,,55 - 64,,,,,"(13.444304, 144.793731)",FV,FV1,Q018,VALUE,66,Age (years),55 - 64,AGEYR,AGEYR5564
84,2013,2013,TN,Tennessee,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,47.3,47.3,,,45.3,58.4,1494,,,College graduate,,,,"(35.68094058, -85.774490914)",OWS,OWS1,Q036,VALUE,47,Education,College graduate,EDU,EDUCOGRAD
85,2016,2016,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,22.5,22.5,,,20.4,30.1,2947,,65 or older,,,,,"(39.360700171, -111.587130635)",OWS,OWS1,Q036,VALUE,49,Age (years),65 or older,AGEYR,AGEYR65PLUS
86,2021,2021,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,22.2,22.2,,,21.3,37.2,275,,,,,,Non-Hispanic Black,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q037,VALUE,8,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
87,2012,2012,UT,Utah,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,38.6,38.6,,,36.5,46.2,7149,,,,Female,,,"(39.360700171, -111.587130635)",PA,PA1,Q047,VALUE,49,Gender,Female,GEN,FEMALE
88,2017,2017,ND,North Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,17.8,17.8,,,18.2,17.8,865,,45 - 54,,,,,"(47.475319779, -100.118421049)",PA,PA1,Q045,VALUE,38,Age (years),45 - 54,AGEYR,AGEYR4554
89,2017,2017,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,35.4,35.4,,,24.1,40.9,737,,,,,"$35,000 - $49,999",,"(44.393191174, -89.816370742)",PA,PA1,Q045,VALUE,55,Income,"$35,000 - $49,999",INC,INC3550
90,2020,2020,FL,Florida,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,35.9,35.9,,,30.3,40.2,3442,,,Some college or technical school,,,,"(28.932040377000476, -81.92896053899966)",PA,PA1,Q047,VALUE,12,Education,Some college or technical school,EDU,EDUCOTEC
91,2013,2013,LA,Louisiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,53.8,53.8,,,47.3,54.6,403,,25 - 34,,,,,"(31.312660644, -92.445680071)",OWS,OWS1,Q037,VALUE,22,Age (years),25 - 34,AGEYR,AGEYR2534
92,2018,2018,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,45,45,,,43.6,52.9,9901,Total,,,,,,"(38.34774030000045, -98.20078122699965)",OWS,OWS1,Q037,VALUE,20,Total,Total,OVR,OVERALL
93,2014,2014,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,54.4,54.4,,,30.4,56.8,523,,25 - 34,,,,,"(38.665510202, -80.712640135)",OWS,OWS1,Q037,VALUE,54,Age (years),25 - 34,AGEYR,AGEYR2534
94,2013,2013,MI,Michigan,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,48.7,48.7,,,43.9,48.8,1785,,,,,"$50,000 - $74,999",,"(44.661319543001, -84.71439027)",PA,PA1,Q046,VALUE,26,Income,"$50,000 - $74,999",INC,INC5075
95,2017,2017,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,39.5,39.5,,,36.1,39.9,2227,,,Some college or technical school,,,,"(41.56266102, -72.649840952)",PA,PA1,Q047,VALUE,9,Education,Some college or technical school,EDU,EDUCOTEC
96,2017,2017,NV,Nevada,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,39,39,,,34.4,41.1,52,,,,,,American Indian/Alaska Native,"(39.49324039, -117.071840564)",FV,FV1,Q019,VALUE,32,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
97,2021,2021,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,47.9,47.9,,,47.5,59.3,1231,,,,,,Non-Hispanic Black,"(37.54268067400045, -78.45789046299967)",OWS,OWS1,Q037,VALUE,51,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
98,2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,49.5,49.5,,,45.3,51.2,266,,18 - 24,,,,,"(41.56266102, -72.649840952)",PA,PA1,Q047,VALUE,9,Age (years),18 - 24,AGEYR,AGEYR1824
99,2013,2013,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,49.1,49.1,,,35.9,51.8,977,,45 - 54,,,,,"(18.220833, -66.590149)",OWS,OWS1,Q036,VALUE,72,Age (years),45 - 54,AGEYR,AGEYR4554
100,2017,2017,OR,Oregon,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,28,28,,,22.6,35.4,958,,55 - 64,,,,,"(44.567449424, -120.155031326)",PA,PA1,Q046,VALUE,41,Age (years),55 - 64,AGEYR,AGEYR5564
101,2016,2016,NY,New York,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,20.3,20.3,,,20.2,20.3,12286,,,College graduate,,,,"(42.827001032, -75.543970427)",PA,PA1,Q047,VALUE,36,Education,College graduate,EDU,EDUCOGRAD
102,2012,2012,FL,Florida,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,18.6,18.6,,,19.6,18,5481,,,,,,Non-Hispanic White,"(28.932040377, -81.928960539)",PA,PA1,Q047,VALUE,12,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
103,2017,2017,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,18.1,18.1,,,19.3,17.1,1027,,35 - 44,,,,,"(38.843840757, -106.133610921)",PA,PA1,Q044,VALUE,8,Age (years),35 - 44,AGEYR,AGEYR3544
104,2013,2013,SD,South Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,20.3,20.3,,,20.1,20.7,1424,,,,,"$75,000 or greater",,"(44.353130053, -100.373530637)",PA,PA1,Q044,VALUE,46,Income,"$75,000 or greater",INC,INC75PLUS
105,2016,2016,MS,Mississippi,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,29.2,29.2,,,27.5,29.3,1008,,,,,Data not reported,,"(32.745510099, -89.538030825)",PA,PA1,Q047,VALUE,28,Income,Data not reported,INC,INCNR
106,2017,2017,NC,North Carolina,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,19.6,19.6,,,19.8,17.4,4380,Total,,,,,,"(35.466220975, -79.159250463)",FV,FV1,Q019,VALUE,37,Total,Total,OVR,OVERALL
107,2019,2019,KS,Kansas,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,27.3,27.3,,,25.6,46.4,481,,,,,,Hispanic,"(38.34774030000045, -98.20078122699965)",FV,FV1,Q019,VALUE,20,Race/Ethnicity,Hispanic,RACE,RACEHIS
108,2011,2011,SD,South Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,25.9,25.9,,,22.1,34.8,1387,,45 - 54,,,,,"(44.353130053, -100.373530637)",OWS,OWS1,Q037,VALUE,46,Age (years),45 - 54,AGEYR,AGEYR4554
109,2017,2017,MD,Maryland,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,21.6,21.6,,,20.8,23.1,2740,,,Some college or technical school,,,,"(39.290580964, -76.609260111)",PA,PA1,Q046,VALUE,24,Education,Some college or technical school,EDU,EDUCOTEC
110,2017,2017,IN,Indiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,36.1,36.1,,,28.2,58.9,1061,,,,,"Less than $15,000",,"(39.766910452, -86.149960194)",PA,PA1,Q045,VALUE,18,Income,"Less than $15,000",INC,INCLESS15
111,2018,2018,LA,Louisiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,27.2,27.2,,,25.9,28.6,685,,35 - 44,,,,,"(31.31266064400046, -92.44568007099969)",PA,PA1,Q047,VALUE,22,Age (years),35 - 44,AGEYR,AGEYR3544
112,2013,2013,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,45.9,45.9,,,43.1,49.2,4435,,,,,Data not reported,,"(28.932040377, -81.928960539)",OWS,OWS1,Q036,VALUE,12,Income,Data not reported,INC,INCNR
113,2014,2014,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.5,29.5,,,26.7,38.2,448,,35 - 44,,,,,"(13.444304, 144.793731)",OWS,OWS1,Q036,VALUE,66,Age (years),35 - 44,AGEYR,AGEYR3544
114,2021,2021,NY,New York,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,33.4,33.4,,,29.7,52.4,591,,,,,,2 or more races,"(42.82700103200045, -75.54397042699964)",FV,FV1,Q019,VALUE,36,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
115,2021,2021,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,37.3,37.3,,,35.2,45.2,1753,,,College graduate,,,,"(38.89037138500049, -77.03196112699965)",FV,FV1,Q019,VALUE,11,Education,College graduate,EDU,EDUCOGRAD
116,2016,2016,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,25.8,25.8,,,23.7,27.5,121,,,,,,Asian,"(39.49324039, -117.071840564)",OWS,OWS1,Q037,VALUE,32,Race/Ethnicity,Asian,RACE,RACEASN
117,2012,2012,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.2,35.2,,,35.1,50.6,494,,,,,,American Indian/Alaska Native,"(35.472031356, -97.521070214)",OWS,OWS1,Q036,VALUE,40,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
118,2013,2013,NV,Nevada,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,49.1,49.1,,,20,51,581,,,,,"$35,000 - $49,999",,"(39.49324039, -117.071840564)",PA,PA1,Q047,VALUE,32,Income,"$35,000 - $49,999",INC,INC3550
119,2022,2022,HI,Hawaii,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,39.5,39.5,,,35.8,41.3,1146,,,,,"$50,000 - $74,999",,"(21.304850435000446, -157.85774940299973)",OWS,OWS1,Q036,VALUE,15,Income,"$50,000 - $74,999",INC,INC5075
120,2022,2022,NE,Nebraska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,23.3,23.3,,,23.3,23.6,472,,18 - 24,,,,,"(41.6410409880005, -99.36572062299967)",PA,PA1,Q047,VALUE,31,Age (years),18 - 24,AGEYR,AGEYR1824
121,2016,2016,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,50,50,,,45.3,55,800,,,,,"$35,000 - $49,999",,"(38.665510202, -80.712640135)",OWS,OWS1,Q036,VALUE,54,Income,"$35,000 - $49,999",INC,INC3550
122,2011,2011,VT,Vermont,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,31.5,31.5,,,25.9,31.5,3973,,,,Female,,,"(43.625381239, -72.517640791)",PA,PA1,Q044,VALUE,50,Gender,Female,GEN,FEMALE
123,2013,2013,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,35,35,,,33.9,41.6,271,,,Less than high school,,,,"(38.890371385, -77.031961127)",PA,PA1,Q047,VALUE,11,Education,Less than high school,EDU,EDUHS
124,2019,2019,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.6,23.6,,,21.9,24,2174,,,,Male,,,"(18.220833, -66.590149)",OWS,OWS1,Q036,VALUE,72,Gender,Male,GEN,MALE
125,2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,27.7,27.7,,,25.3,33.1,795,,,,,"$15,000 - $24,999",,"(34.748650124, -92.274490743)",PA,PA1,Q045,VALUE,5,Income,"$15,000 - $24,999",INC,INC1525
126,2015,2015,UT,Utah,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,21.4,21.4,,,20,22.7,103,,,,,,Asian,"(39.360700171, -111.587130635)",PA,PA1,Q046,VALUE,49,Race/Ethnicity,Asian,RACE,RACEASN
127,2021,2021,NY,New York,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,41.9,41.9,,,37.1,47.2,3507,,,,,"$15,000 - $24,999",,"(42.82700103200045, -75.54397042699964)",PA,PA1,Q047,VALUE,36,Income,"$15,000 - $24,999",INC,INC1525
128,2017,2017,KS,Kansas,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,34.5,34.5,,,23.6,36.8,2969,,45 - 54,,,,,"(38.3477403, -98.200781227)",FV,FV1,Q018,VALUE,20,Age (years),45 - 54,AGEYR,AGEYR4554
129,2015,2015,TN,Tennessee,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,25.7,25.7,,,25.4,27.3,633,,,,,"Less than $15,000",,"(35.68094058, -85.774490914)",OWS,OWS1,Q037,VALUE,47,Income,"Less than $15,000",INC,INCLESS15
130,2017,2017,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,48,48,,,47.1,51.4,3243,,,College graduate,,,,"(42.27687047, -72.082690675)",FV,FV1,Q019,VALUE,25,Education,College graduate,EDU,EDUCOGRAD
131,2017,2017,NY,New York,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,54,54,,,46.9,60,138,,,,,,2 or more races,"(42.827001032, -75.543970427)",FV,FV1,Q019,VALUE,36,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
132,2019,2019,MD,Maryland,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,24.8,24.8,,,21,40.6,2886,,,,,,Non-Hispanic Black,"(39.29058096400047, -76.60926011099963)",FV,FV1,Q019,VALUE,24,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
133,2017,2017,DE,Delaware,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,45.9,45.9,,,33.6,57.3,343,,,,,"$25,000 - $34,999",,"(39.008830667, -75.577741168)",FV,FV1,Q018,VALUE,10,Income,"$25,000 - $34,999",INC,INC2535
134,2019,2019,MD,Maryland,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,51.1,51.1,,,50.5,56.1,341,,,,,,Asian,"(39.29058096400047, -76.60926011099963)",PA,PA1,Q047,VALUE,24,Race/Ethnicity,Asian,RACE,RACEASN
135,2021,2021,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,54.6,54.6,,,30.5,56.5,1321,,,,,"$35,000 - $49,999",,"(47.52227862900048, -120.47001078999972)",OWS,OWS1,Q036,VALUE,53,Income,"$35,000 - $49,999",INC,INC3550
136,2019,2019,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,40,40,,,35.2,52.1,994,,,,,Data not reported,,"(34.74865012400045, -92.27449074299966)",OWS,OWS1,Q036,VALUE,5,Income,Data not reported,INC,INCNR
137,2011,2011,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,20.4,20.4,,,20,20.4,1801,,45 - 54,,,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q037,VALUE,30,Age (years),45 - 54,AGEYR,AGEYR4554
138,2016,2016,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.3,26.3,,,24,29.8,61211,,,,,"$50,000 - $74,999",,,OWS,OWS1,Q036,VALUE,59,Income,"$50,000 - $74,999",INC,INC5075
139,2012,2012,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,23.4,23.4,,,22.8,28.8,124,,,,,,Hispanic,"(47.066528972, -109.424420645)",OWS,OWS1,Q037,VALUE,30,Race/Ethnicity,Hispanic,RACE,RACEHIS
140,2013,2013,MO,Missouri,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,39.3,39.3,,,35.1,46.2,846,,,,,"$35,000 - $49,999",,"(38.635790776, -92.566300053)",PA,PA1,Q045,VALUE,29,Income,"$35,000 - $49,999",INC,INC3550
141,2022,2022,MT,Montana,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,35.7,35.7,,,30,40.6,466,,,,,,American Indian/Alaska Native,"(47.06652897200047, -109.42442064499971)",PA,PA1,Q047,VALUE,30,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
142,2015,2015,MO,Missouri,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,30.3,30.3,,,23.5,33.2,2735,,,,Male,,,"(38.635790776, -92.566300053)",PA,PA1,Q045,VALUE,29,Gender,Male,GEN,MALE
143,2011,2011,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,45.1,45.1,,,39.4,52.2,1822,,,,,"$25,000 - $34,999",,"(42.27687047, -72.082690675)",PA,PA1,Q046,VALUE,25,Income,"$25,000 - $34,999",INC,INC2535
144,2019,2019,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,22.3,22.3,,,21.8,24.4,2958,,,,Female,,,"(41.70828019300046, -71.52247031399963)",OWS,OWS1,Q037,VALUE,44,Gender,Female,GEN,FEMALE
145,2020,2020,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,39.8,39.8,,,39.7,40.4,101,,,,,,Other,"(47.52227862900048, -120.47001078999972)",OWS,OWS1,Q037,VALUE,53,Race/Ethnicity,Other,RACE,RACEOTH
146,2015,2015,VA,Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,48.7,48.7,,,44.5,52.7,5813,,,,,,Non-Hispanic White,"(37.542680674, -78.457890463)",PA,PA1,Q044,VALUE,51,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
147,2017,2017,SD,South Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,40,40,,,39.2,40.2,1012,,,,,"$50,000 - $74,999",,"(44.353130053, -100.373530637)",PA,PA1,Q045,VALUE,46,Income,"$50,000 - $74,999",INC,INC5075
